incident_id,timestamp_epoch,datetime_iso,location_id,location_name,incident_type,severity,involved_track_ids,golongan_types,speed_kmh,location_description,title,description
ALT-0001,1789814928.923,2026-09-19 17:48:48.922,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,2850,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#2850),Sepeda motor #2850 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0002,1789814930.426,2026-09-19 17:48:50.426,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,2853,Golongan I,7.8,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #2853),Sedan/Jip/Pick-up #2853 melaju ke atas melawan arus lajur masuk underpass.
ALT-0003,1789814933.407,2026-09-19 17:48:53.406,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,2905,Golongan I,10.3,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #2905),Sedan/Jip/Pick-up #2905 melaju ke atas melawan arus lajur masuk underpass.
ALT-0004,1789814933.753,2026-09-19 17:48:53.753,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,2907,Golongan I,9.3,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #2907),Sedan/Jip/Pick-up #2907 melaju ke atas melawan arus lajur masuk underpass.
ALT-0005,1789814934.577,2026-09-19 17:48:54.577,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2771,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2771),Sedan/Jip/Pick-up #2771 terhenti di jalur underpass selama 6.3 detik.
ALT-0006,1789814934.577,2026-09-19 17:48:54.577,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2836,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2836),Sedan/Jip/Pick-up #2836 terhenti di jalur underpass selama 6.1 detik.
ALT-0007,1789814935.638,2026-09-19 17:48:55.638,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,2920,Golongan I,11.4,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #2920),Sedan/Jip/Pick-up #2920 melaju ke atas melawan arus lajur masuk underpass.
ALT-0008,1789814935.883,2026-09-19 17:48:55.882,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2835,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2835),Sedan/Jip/Pick-up #2835 terhenti di jalur underpass selama 7.4 detik.
ALT-0009,1789814937.742,2026-09-19 17:48:57.741,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2919,Golongan I,1.5,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2919),Sedan/Jip/Pick-up #2919 terhenti di jalur underpass selama 3.2 detik.
ALT-0010,1789814938.142,2026-09-19 17:48:58.142,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2884,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2884),Sedan/Jip/Pick-up #2884 terhenti di jalur underpass selama 5.5 detik.
ALT-0011,1789814938.142,2026-09-19 17:48:58.142,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2709,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2709),Sedan/Jip/Pick-up #2709 terhenti di jalur underpass selama 6.7 detik.
ALT-0012,1789814938.142,2026-09-19 17:48:58.142,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2922,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2922),Sedan/Jip/Pick-up #2922 terhenti di jalur underpass selama 3.4 detik.
ALT-0013,1789814939.202,2026-09-19 17:48:59.201,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2945,Golongan I,2.5,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #2945),Sedan/Jip/Pick-up #2945 terhenti di jalur underpass selama 3.1 detik.
ALT-0014,1789814941.404,2026-09-19 17:49:01.404,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,2989,Golongan I,5.2,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #2989),Sedan/Jip/Pick-up #2989 melaju ke atas melawan arus lajur masuk underpass.
ALT-0015,1789814941.692,2026-09-19 17:49:01.691,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,2974,Golongan I,0.1,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Bus #2974),Bus #2974 terhenti di jalur underpass selama 3.1 detik.
ALT-0016,1789814942.938,2026-09-19 17:49:02.937,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3005,Golongan I,9.4,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3005),Sedan/Jip/Pick-up #3005 melaju ke atas melawan arus lajur masuk underpass.
ALT-0017,1789814943.142,2026-09-19 17:49:03.141,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3006,Golongan I,8.7,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3006),Sedan/Jip/Pick-up #3006 melaju ke atas melawan arus lajur masuk underpass.
ALT-0018,1789814943.896,2026-09-19 17:49:03.896,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3007,Golongan I,7.5,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3007),Sedan/Jip/Pick-up #3007 melaju ke atas melawan arus lajur masuk underpass.
ALT-0019,1789814947.577,2026-09-19 17:49:07.576,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3051,Golongan I;Golongan I,0.0,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3051),Sedan/Jip/Pick-up #3051 melaju ke atas melawan arus lajur masuk underpass.
ALT-0020,1789814948.674,2026-09-19 17:49:08.673,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3063,Golongan I,12.6,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3063),Sedan/Jip/Pick-up #3063 melaju ke atas melawan arus lajur masuk underpass.
ALT-0021,1789814950.89,2026-09-19 17:49:10.890,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3064,Golongan I,1.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3064),Sedan/Jip/Pick-up #3064 terhenti di jalur underpass selama 3.1 detik.
ALT-0022,1789814951.086,2026-09-19 17:49:11.086,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3085,Golongan I,11.5,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3085),Sedan/Jip/Pick-up #3085 melaju ke atas melawan arus lajur masuk underpass.
ALT-0023,1789814952.213,2026-09-19 17:49:12.212,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3079,Golongan I,2.5,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3079),Sedan/Jip/Pick-up #3079 terhenti di jalur underpass selama 3.2 detik.
ALT-0024,1789814953.905,2026-09-19 17:49:13.905,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3066,Golongan I,3.4,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3066),Sedan/Jip/Pick-up #3066 terhenti di jalur underpass selama 3.0 detik.
ALT-0025,1789814954.093,2026-09-19 17:49:14.093,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3065,Golongan III,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Truk 3 Gandar #3065),Truk 3 Gandar #3065 terhenti di jalur underpass selama 6.3 detik.
ALT-0026,1789814958.332,2026-09-19 17:49:18.332,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3109,Golongan I,1.1,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3109),Sedan/Jip/Pick-up #3109 terhenti di jalur underpass selama 3.1 detik.
ALT-0027,1789814958.687,2026-09-19 17:49:18.686,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3126,Golongan I,10.7,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3126),Sedan/Jip/Pick-up #3126 melaju ke atas melawan arus lajur masuk underpass.
ALT-0028,1789814959.965,2026-09-19 17:49:19.965,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3142,Golongan I,2.4,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3142),Sedan/Jip/Pick-up #3142 melaju ke atas melawan arus lajur masuk underpass.
ALT-0029,1789814960.758,2026-09-19 17:49:20.758,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3123,Golongan I,2.1,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3123),Sedan/Jip/Pick-up #3123 terhenti di jalur underpass selama 3.1 detik.
ALT-0030,1789814962.907,2026-09-19 17:49:22.907,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3167,Golongan I,9.5,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3167),Sedan/Jip/Pick-up #3167 melaju ke atas melawan arus lajur masuk underpass.
ALT-0031,1789814963.095,2026-09-19 17:49:23.095,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3176,Golongan I,11.2,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3176),Sedan/Jip/Pick-up #3176 melaju ke atas melawan arus lajur masuk underpass.
ALT-0032,1789814964.863,2026-09-19 17:49:24.863,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3108,Golongan I,2.5,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3108),Sedan/Jip/Pick-up #3108 terhenti di jalur underpass selama 3.1 detik.
ALT-0033,1789814965.056,2026-09-19 17:49:25.056,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3169,Golongan I,3.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3169),Sedan/Jip/Pick-up #3169 terhenti di jalur underpass selama 3.1 detik.
ALT-0034,1789814967.078,2026-09-19 17:49:27.078,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3210,Golongan I,4.6,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3210),Sedan/Jip/Pick-up #3210 melaju ke atas melawan arus lajur masuk underpass.
ALT-0035,1789814968.497,2026-09-19 17:49:28.497,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3224,Golongan I,11.2,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3224),Sedan/Jip/Pick-up #3224 melaju ke atas melawan arus lajur masuk underpass.
ALT-0036,1789814969.112,2026-09-19 17:49:29.112,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3208,Golongan I,1.8,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3208),Sedan/Jip/Pick-up #3208 terhenti di jalur underpass selama 3.2 detik.
ALT-0037,1789814969.112,2026-09-19 17:49:29.112,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3207,Golongan I,0.5,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3207),Sedan/Jip/Pick-up #3207 terhenti di jalur underpass selama 3.2 detik.
ALT-0038,1789814970.173,2026-09-19 17:49:30.173,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3171,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3171),Sedan/Jip/Pick-up #3171 terhenti di jalur underpass selama 6.7 detik.
ALT-0039,1789814973.191,2026-09-19 17:49:33.190,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3110,Golongan I,2.9,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #3110),Sedan/Jip/Pick-up #3110 terhenti di jalur underpass selama 3.0 detik.
ALT-0040,1789814973.405,2026-09-19 17:49:33.405,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3248,Golongan III,3.3,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Truk 3 Gandar #3248),Truk 3 Gandar #3248 terhenti di jalur underpass selama 3.1 detik.
ALT-0041,1789814973.405,2026-09-19 17:49:33.405,312,Underpass Unila Arah Rajabasa,LAWAN_ARAH,CRITICAL,3276,Golongan I,11.2,Underpass Unila Arah Rajabasa,BAHAYA: Kendaraan Lawan Arah! (Sedan/Jip/Pick-up #3276),Sedan/Jip/Pick-up #3276 melaju ke atas melawan arus lajur masuk underpass.
ALT-0042,1789814974.204,2026-09-19 17:49:34.203,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5006,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5006),Sepeda motor #5006 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
