timestamp_epoch,datetime_iso,location_id,location_name,frame_id,track_id,golongan,vehicle_subclass,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,pixel_center_x,pixel_center_y,ground_x_meter,ground_y_meter,length_meter,width_meter,speed_kmh,aspect_ratio,helmet_status,compliance_status,status
1789815991.443,2026-09-19 18:06:31.443,282,Perempatan Jl. Jendral Sudirman,1,3897,Golongan I,Sedan/Jip/Pick-up,0.647,706,181,833,276,770.0,229.4,12.09,7.4,8.22,3.5,0.0,1.35,N/A,NORMAL,NORMAL
1789815991.741,2026-09-19 18:06:31.740,282,Perempatan Jl. Jendral Sudirman,2,4025,Golongan I,Sedan/Jip/Pick-up,0.895,83,378,419,583,251.5,480.8,1.35,23.73,9.9,3.5,0.0,1.64,N/A,NORMAL,NORMAL
1789815991.947,2026-09-19 18:06:31.946,282,Perempatan Jl. Jendral Sudirman,3,4025,Golongan I,Sedan/Jip/Pick-up,0.89,102,371,435,574,268.7,472.9,1.61,23.39,9.95,3.5,0.0,1.64,N/A,NORMAL,NORMAL
1789815992.181,2026-09-19 18:06:32.180,282,Perempatan Jl. Jendral Sudirman,4,4025,Golongan I,Sedan/Jip/Pick-up,0.856,123,362,452,563,288.1,463.0,1.91,22.96,10.05,3.5,7.8,1.64,N/A,NORMAL,NORMAL
1789815992.181,2026-09-19 18:06:32.180,282,Perempatan Jl. Jendral Sudirman,4,3897,Golongan I,Sedan/Jip/Pick-up,0.612,724,187,839,271,781.8,229.4,12.43,7.0,7.25,3.44,0.0,1.35,N/A,NORMAL,NORMAL
1789815992.369,2026-09-19 18:06:32.368,282,Perempatan Jl. Jendral Sudirman,5,4025,Golongan I,Sedan/Jip/Pick-up,0.729,149,356,469,551,309.8,453.6,2.25,22.47,9.91,3.5,8.2,1.64,N/A,NORMAL,NORMAL
1789815992.576,2026-09-19 18:06:32.576,282,Perempatan Jl. Jendral Sudirman,6,4025,Golongan I,Sedan/Jip/Pick-up,0.818,170,350,485,541,327.9,445.8,2.55,22.08,9.86,3.5,8.4,1.64,N/A,NORMAL,NORMAL
1789815992.88,2026-09-19 18:06:32.880,282,Perempatan Jl. Jendral Sudirman,7,4025,Golongan I,Sedan/Jip/Pick-up,0.802,190,341,501,530,346.0,435.9,2.84,21.63,9.96,3.5,8.3,1.64,N/A,NORMAL,NORMAL
1789815993.051,2026-09-19 18:06:33.051,282,Perempatan Jl. Jendral Sudirman,8,4025,Golongan I,Sedan/Jip/Pick-up,0.671,209,332,518,520,363.9,426.4,3.14,21.21,10.1,3.5,8.4,1.64,N/A,NORMAL,NORMAL
1789815993.217,2026-09-19 18:06:33.217,282,Perempatan Jl. Jendral Sudirman,9,4025,Golongan I,Sedan/Jip/Pick-up,0.801,231,327,530,509,381.1,418.3,3.42,20.71,9.94,3.5,8.6,1.65,N/A,NORMAL,NORMAL
1789815993.393,2026-09-19 18:06:33.393,282,Perempatan Jl. Jendral Sudirman,10,4025,Golongan I,Sedan/Jip/Pick-up,0.864,250,320,545,499,397.9,410.3,3.71,20.31,9.95,3.5,8.8,1.65,N/A,NORMAL,NORMAL
1789815993.569,2026-09-19 18:06:33.569,282,Perempatan Jl. Jendral Sudirman,11,4025,Golongan I,Sedan/Jip/Pick-up,0.73,273,315,558,488,416.0,402.1,4.02,19.79,9.77,3.5,9.0,1.65,N/A,NORMAL,NORMAL
1789815993.729,2026-09-19 18:06:33.729,282,Perempatan Jl. Jendral Sudirman,12,4025,Golongan I,Sedan/Jip/Pick-up,0.767,293,310,571,478,432.4,394.5,4.32,19.33,9.64,3.5,9.4,1.65,N/A,NORMAL,NORMAL
1789815993.936,2026-09-19 18:06:33.935,282,Perempatan Jl. Jendral Sudirman,13,4025,Golongan I,Sedan/Jip/Pick-up,0.618,312,303,585,468,449.1,385.8,4.62,18.84,9.64,3.5,9.7,1.66,N/A,NORMAL,NORMAL
1789815993.936,2026-09-19 18:06:33.935,282,Perempatan Jl. Jendral Sudirman,13,4026,Golongan VI-A,Sepeda Motor (Taat Helm),0.757,5,505,54,651,29.8,578.4,-2.22,26.15,5.91,0.98,0.0,0.33,HELM,TAAT_HUKUM,NORMAL
1789815994.085,2026-09-19 18:06:34.084,282,Perempatan Jl. Jendral Sudirman,14,4025,Golongan I,Sedan/Jip/Pick-up,0.649,331,297,598,458,465.0,377.9,4.92,18.37,9.58,3.5,9.9,1.66,N/A,NORMAL,NORMAL
1789815994.085,2026-09-19 18:06:34.084,282,Perempatan Jl. Jendral Sudirman,14,4026,Golongan VI-A,Sepeda Motor (Taat Helm),0.807,14,497,62,640,38.7,568.9,-2.18,25.78,5.89,0.97,0.0,0.34,HELM,TAAT_HUKUM,NORMAL
1789815994.272,2026-09-19 18:06:34.272,282,Perempatan Jl. Jendral Sudirman,15,4025,Golongan I,Sedan/Jip/Pick-up,0.694,350,291,611,448,481.0,370.2,5.22,17.89,9.51,3.5,10.2,1.66,N/A,NORMAL,NORMAL
1789815994.272,2026-09-19 18:06:34.272,282,Perempatan Jl. Jendral Sudirman,15,4026,Golongan VI-A,Sepeda Motor (Taat Helm),0.844,24,489,73,632,49.1,560.8,-2.07,25.5,5.97,1.0,7.2,0.35,HELM,TAAT_HUKUM,NORMAL
1789815994.447,2026-09-19 18:06:34.447,282,Perempatan Jl. Jendral Sudirman,16,4025,Golongan I,Sedan/Jip/Pick-up,0.739,369,286,624,439,496.6,363.4,5.53,17.45,9.41,3.5,10.7,1.67,N/A,NORMAL,NORMAL
1789815994.447,2026-09-19 18:06:34.447,282,Perempatan Jl. Jendral Sudirman,16,4026,Golongan VI-A,Sepeda Motor (Taat Helm),0.872,32,480,85,627,59.0,553.7,-1.94,25.31,6.21,1.08,6.8,0.36,HELM,TAAT_HUKUM,NORMAL
1789815994.681,2026-09-19 18:06:34.680,282,Perempatan Jl. Jendral Sudirman,17,5000,Golongan I,Sedan/Jip/Pick-up,0.843,577,232,756,342,667.1,287.2,9.32,11.92,8.11,3.5,0.0,1.62,N/A,NORMAL,NORMAL
1789815994.681,2026-09-19 18:06:34.680,282,Perempatan Jl. Jendral Sudirman,17,5001,Golongan I,Sedan/Jip/Pick-up,0.773,136,358,421,529,279.0,444.0,1.43,21.58,8.88,3.5,0.0,1.67,N/A,NORMAL,NORMAL
1789815994.84,2026-09-19 18:06:34.840,282,Perempatan Jl. Jendral Sudirman,18,4027,Golongan I,Sedan/Jip/Pick-up,0.821,585,230,760,337,673.1,283.9,9.47,11.62,7.96,3.5,0.0,1.62,N/A,NORMAL,NORMAL
1789815994.84,2026-09-19 18:06:34.840,282,Perempatan Jl. Jendral Sudirman,18,4028,Golongan I,Sedan/Jip/Pick-up,0.858,153,351,432,518,293.0,435.1,1.63,21.12,8.84,3.5,0.0,1.67,N/A,NORMAL,NORMAL
1789815995.003,2026-09-19 18:06:35.002,282,Perempatan Jl. Jendral Sudirman,19,4027,Golongan I,Sedan/Jip/Pick-up,0.867,595,227,765,332,680.6,280.1,9.65,11.28,7.89,3.5,0.0,1.62,N/A,NORMAL,NORMAL
1789815995.003,2026-09-19 18:06:35.002,282,Perempatan Jl. Jendral Sudirman,19,4028,Golongan I,Sedan/Jip/Pick-up,0.867,173,343,450,509,312.1,426.6,1.96,20.74,8.93,3.5,0.0,1.67,N/A,NORMAL,NORMAL
