incident_id,timestamp_epoch,datetime_iso,location_id,location_name,incident_type,severity,involved_track_ids,golongan_types,speed_kmh,location_description,title,description
ALT-0001,1789819672.448,2026-09-19 19:07:52.448,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,3,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#3),Sepeda motor #3 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0002,1789819673.774,2026-09-19 19:07:53.774,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,2,Golongan VI-B,1.5,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#2),Sepeda motor #2 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0003,1789819675.602,2026-09-19 19:07:55.601,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,3,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sepeda Motor (Tanpa Helm) #3),Sepeda Motor (Tanpa Helm) #3 terhenti di jalur underpass selama 3.2 detik.
ALT-0004,1789819675.835,2026-09-19 19:07:55.834,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5001,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5001),Sepeda motor #5001 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0005,1789819676.858,2026-09-19 19:07:56.858,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5007,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5007),Sepeda motor #5007 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0006,1789819678.672,2026-09-19 19:07:58.671,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,19,Golongan I,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sedan/Jip/Pick-up #19),Sedan/Jip/Pick-up #19 terhenti di jalur underpass selama 3.1 detik.
ALT-0007,1789819680.949,2026-09-19 19:08:00.948,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5011,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5011),Sepeda motor #5011 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0008,1789819680.949,2026-09-19 19:08:00.948,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5013,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5013),Sepeda motor #5013 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0009,1789819682.084,2026-09-19 19:08:02.084,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5017,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5017),Sepeda motor #5017 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0010,1789819684.974,2026-09-19 19:08:04.974,312,Underpass Unila Arah Rajabasa,KENDARAAN_BERHENTI,WARNING,87,Golongan VI-A,0.0,Underpass Unila Arah Rajabasa,Kendaraan Berhenti di Underpass (Sepeda Motor (Taat Helm) #87),Sepeda Motor (Taat Helm) #87 terhenti di jalur underpass selama 5.7 detik.
ALT-0011,1789819685.749,2026-09-19 19:08:05.748,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5021,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5021),Sepeda motor #5021 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
ALT-0012,1789819688.045,2026-09-19 19:08:08.044,312,Underpass Unila Arah Rajabasa,PELANGGARAN_HELM,WARNING,5025,Golongan VI-B,0.0,Underpass Unila Arah Rajabasa,ETLE: Pengendara Motor Tanpa Helm (#5025),Sepeda motor #5025 terdeteksi melanggar aturan lalu lintas (tidak mengenakan helm keselamatan SNI).
